| food_name                                                                              | energy_kj | energy_kcal | carb_g | protein_g | fat_g | freesugar_g | fibre_g |
| Mushroom and cheese sandwich (toasted)                                                 | 951.3     | 227.42      | 21.01  | 7.79      | 13.01 | 2.11        | 2.28    |
| Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted))        | 939.42    | 224.58      | 21.42  | 6.82      | 12.95 | 2.67        | 1.78    |
| Pea potato sandwich (toasted) (Matar aloo ka sandwich)                                 | 692.6     | 164.9       | 25.17  | 4.6       | 5.43  | 1.33        | 2.89    |
| Paneer pea sandwich (toasted) (Paneer matar ka sandwich)                               | 1046.81   | 249.56      | 24.05  | 12.4      | 11.98 | 6.4         | 2.12    |
| Chicken sandwich (toasted)                                                             | 705.58    | 167.37      | 18.82  | 12.08     | 5.32  | 2.13        | 1.64    |
| Pea keema sandwich (toasted) (Matar aur keema ka sandwich)                             | 723.5     | 171.78      | 20.26  | 11.06     | 5.61  | 1.94        | 2.45    |
| Classic club sandwich                                                                  | 840.3     | 200.83      | 18.49  | 6.74      | 11.56 | 1.86        | 1.62    |
| Sesame toast                                                                           | 2042.69   | 495.19      | 11.15  | 1.9       | 49.38 | 1.46        | 1.32    |
| Cracked wheat porridge (Meetha daliya)                                                 | 341.09    | 81.57       | 8.87   | 2.64      | 4.08  | 5.12        | 0.62    |
| Semolina porridge (Suji/Rava daliya)                                                   | 423.06    | 100.89      | 12.39  | 3.75      | 4.08  | 7.54        | 0.7     |
| Oatmeal Porridge                                                                       | 306.46    | 72.85       | 8.77   | 2.6       | 3.22  | 5.2         | 0.39    |
| Cornflakes with milk                                                                   | 493.71    | 117.33      | 14.95  | 3.59      | 5.12  | 9.97        | 0.78    |
| Rice flakes (Chiwda/Aval)                                                              | 471.37    | 112.44      | 15.57  | 3.62      | 3.99  | 7.28        | 0.37    |
| Wheat flakes                                                                           | 471.37    | 112.44      | 15.57  | 3.62      | 3.99  | 7.28        | 0.37    |
| Murmura (Puffed rice)                                                                  | 475.04    | 113.32      | 15.67  | 3.62      | 4.04  | 7.31        | 0.28    |
| Puffed wheat (Murmure/Moori)                                                           | 475.04    | 113.32      | 15.67  | 3.62      | 4.04  | 7.31        | 0.28    |
| Boiled egg (Ubla anda)                                                                 | 189.77    | 45.35       | 0.12   | 4.43      | 3.04  | 0           | 0.11    |
| Fried Egg                                                                              | 928.19    | 223.67      | 0.31   | 11.59     | 19.62 | 0           | 0.29    |
| Poached egg                                                                            | 518.05    | 123.87      | 0.37   | 11.98     | 8.19  | 0.05        | 0.3     |
| Scrambled egg (Ande ki bhurji)                                                         | 649.51    | 155.97      | 1.35   | 10.29     | 12.21 | 1.08        | 0.24    |
| Baked egg                                                                              | 916.63    | 218.85      | 15.42  | 11.88     | 12.65 | 1.66        | 1.03    |
| Plain omelette/omlet                                                                   | 1127.43   | 272.41      | 0.64   | 9.66      | 25.74 | 0.51        | 0.12    |
| Stuffed egg omelette/omlet                                                             | 843.31    | 203.51      | 2.3    | 8.6       | 17.77 | 1.57        | 0.75    |
| Pancake                                                                                | 846.21    | 203.36      | 20.49  | 5.68      | 10.82 | 3.32        | 0.65    |
| Keema pancake                                                                          | 733.07    | 176.27      | 9.56   | 9.01      | 11.25 | 2.2         | 0.84    |
| Vegetable pancake                                                                      | 520.55    | 125.18      | 12.24  | 3.87      | 6.57  | 2.09        | 2.48    |
| Jam and fruit pancake                                                                  | 675.43    | 162.02      | 20.73  | 3.79      | 7.01  | 7.85        | 1.21    |
| Khoa and coconut pancake                                                               | 1138.78   | 271.98      | 27.32  | 6.98      | 15.29 | 16.47       | 1.65    |
| Brown stock                                                                            | 89.24     | 21.32       | 0.25   | 1.95      | 1.38  | 0.14        | 0.09    |
| Vegetable stock                                                                        | 72.84     | 17.6        | 0.96   | 0.3       | 1.38  | 0.44        | 0.38    |
| Chicken stock                                                                          | 125.02    | 29.88       | 0.37   | 3.69      | 1.51  | 0.2         | 0.1     |
| Clear tomato soup (Tamatar ka soup)                                                    | 330.9     | 80.07       | 3.45   | 4.79      | 12.22 | 1.44        | 1.96    |
| Lentil soup                                                                            | 129.85    | 31.17       | 3.94   | 9.65      | 11.68 | 1.06        | 2.57    |
| Chicken consomme (Clear chicken soup)                                                  | 199.24    | 47.94       | 1.19   | 11.47     | 12.02 | 0.54        | 1.57    |
| Cream of tomato soup                                                                   | 404.6     | 97.81       | 3.93   | 4.61      | 13.12 | 1.81        | 1.38    |
| Cream of green peas soup                                                               | 529.63    | 127.84      | 6.75   | 7.13      | 14.78 | 1.61        | 2.95    |
| Cream of spinach soup                                                                  | 416.01    | 100.54      | 3.45   | 5.21      | 13.31 | 1.13        | 1.74    |
| Cream of mixed vegetable soup                                                          | 248.42    | 59.65       | 4.93   | 6.84      | 9.05  | 2.1         | 2.14    |
| Cream of mushroom soup                                                                 | 484.63    | 117.28      | 3.74   | 6.64      | 15.5  | 1.93        | 1.34    |
| Chicken sweet corn soup                                                                | 119.03    | 28.32       | 1.63   | 14.48     | 12.59 | 0.27        | 0.47    |
| Minestrone soup                                                                        | 178.39    | 42.66       | 3.71   | 9.3       | 11.09 | 1.01        | 1.92    |
| Egg drop soup                                                                          | 110.83    | 26.64       | 1.1    | 12.93     | 13.52 | 0.6         | 0.81    |
| Chinese cabbage and meat ball soup                                                     | 1992.37   | 484.31      | 1.43   | 5.21      | 56.57 | 0.37        | 0.57    |
| French onion soup                                                                      | 230.9     | 55.61       | 4.28   | 11.41     | 14.39 | 1.5         | 1.01    |
| Hot and sour soup                                                                      | 132.17    | 31.51       | 1.78   | 3.12      | 1.31  | 0.66        | 0.6     |
| Talaumein soup                                                                         | 149.32    | 35.63       | 4.17   | 10.12     | 12.78 | 0.77        | 1.94    |
| Cold cucumber soup (Thanda kheere ka soup)                                             | 201.43    | 48.03       | 4.58   | 2.99      | 1.99  | 3.34        | 0.88    |
| Cold summer garden soup                                                                | 203.38    | 49.19       | 2.65   | 8.57      | 14.08 | 0.46        | 1.86    |
| Chapati/Roti                                                                           | 844.75    | 202.31      | 35.65  | 5.88      | 3.56  | 1           | 6.31    |
| Plain parantha/paratha                                                                 | 1237.55   | 298.3       | 30.69  | 5.06      | 16.86 | 0.86        | 5.43    |
| Potato parantha/paratha (Aloo ka parantha/paratha)                                     | 851.61    | 205.04      | 23.92  | 3.7       | 10.22 | 1.15        | 4.18    |
| Radish parantha/paratha (Mooli ka parantha/paratha)                                    | 762       | 183.52      | 20.54  | 3.3       | 9.53  | 1.31        | 4.32    |
| Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha)                          | 739.29    | 178.07      | 18.84  | 3.73      | 9.47  | 1.15        | 4.68    |
| Dal parantha/paratha                                                                   | 1114.69   | 268.24      | 30.03  | 6.78      | 13.05 | 1.43        | 6.46    |
| Sprouted moong parantha/paratha                                                        | 948.71    | 228.59      | 24.31  | 4.29      | 12.43 | 1.47        | 4.49    |
| Pea parantha/paratha (Matar ka parantha/paratha)                                       | 792.61    | 190.73      | 21.51  | 5.59      | 8.8   | 1.29        | 5.61    |
| Keema parantha/paratha                                                                 | 989.27    | 238.09      | 18.36  | 9.41      | 13.91 | 0.99        | 3.44    |
| Paneer parantha/paratha                                                                | 1093.35   | 262.97      | 24.33  | 7.98      | 14.62 | 3.77        | 4       |
| Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha)               | 901.21    | 216.49      | 21.39  | 5.54      | 12.09 | 1.31        | 4.39    |
| Poori                                                                                  | 3035.59   | 737.63      | 8.22   | 1.35      | 77.61 | 0.23        | 1.46    |
| Spinach poori (Palak poori)                                                            | 2816.04   | 684.25      | 7.76   | 1.42      | 71.86 | 0.24        | 1.55    |
| Methi poori                                                                            | 2922.04   | 710.02      | 7.98   | 1.45      | 74.6  | 0.26        | 1.61    |
| Dal stuffed poori                                                                      | 3231.84   | 785.16      | 10.14  | 2.08      | 81.69 | 0.29        | 1.96    |
| Potato stuffed poori (Aloo ki poori)                                                   | 3196.78   | 776.74      | 9.4    | 1.52      | 81.35 | 0.26        | 1.64    |
| Tandoori parantha/paratha                                                              | 1225.73   | 295.37      | 30.74  | 5.08      | 16.51 | 0.86        | 5.44    |
| Boiled rice (Uble chawal)                                                              | 490.33    | 117.19      | 25.72  | 2.6       | 0.18  | 0.22        | 1.25    |
| Plain pulao                                                                            | 583.77    | 140.21      | 21.82  | 2.34      | 4.62  | 1.15        | 1.69    |
| Mixed vegetable pulao                                                                  | 471       | 113.05      | 17.49  | 2.72      | 3.33  | 1.35        | 2.67    |
| Mushroom pulao                                                                         | 517.56    | 124.29      | 19.02  | 2.52      | 4.03  | 1           | 1.88    |
| Sprouted moong pulao                                                                   | 470.44    | 112.97      | 17.49  | 2.19      | 3.61  | 1.43        | 1.78    |
| Paneer pulao                                                                           | 2396.2    | 581.91      | 8.76   | 1.98      | 59.81 | 1.11        | 0.62    |
| Peanut pulao                                                                           | 806.21    | 193.28      | 21.18  | 5.32      | 9.51  | 1.6         | 2.9     |
| Navratan pulao                                                                         | 1090.19   | 261.71      | 36.98  | 6.2       | 9.45  | 2.52        | 3.82    |
| Green chickpeas pulao (Choliya pulao/Hare chane ka pulao)                              | 722.95    | 173.43      | 27.57  | 4.88      | 4.82  | 2.48        | 3.15    |
| Mutton biryani/biriyani                                                                | 795.74    | 190.76      | 22.5   | 7.38      | 7.72  | 2.39        | 2.42    |
| Vegetable biryani/biriyani                                                             | 724.76    | 174.61      | 18.56  | 3.16      | 9.51  | 2.14        | 3.31    |
| Lemon rice (Pulihora, Elumichai sadam, Chitranna)                                      | 734.93    | 176.3       | 21.62  | 4.26      | 7.88  | 0.78        | 2.52    |
| Sweet rice (Meethe chawal)                                                             | 906.12    | 215.41      | 42.59  | 2.1       | 4.57  | 24.8        | 1.13    |
| Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam)              | 818.47    | 195.74      | 32.93  | 5.75      | 4.32  | 3.91        | 2.13    |
| Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna)                 | 1556.82   | 373.04      | 65.08  | 7.45      | 8.53  | 11.65       | 5.12    |
| Spanish rice                                                                           | 686.24    | 164.24      | 31.1   | 4.19      | 2.23  | 1.26        | 2.78    |
| Chinese fried rice                                                                     | 502.3     | 120.58      | 13.4   | 4.05      | 5.43  | 1.47        | 2.31    |
| Macroni cheese pie                                                                     | 717.16    | 170.63      | 21.1   | 5.85      | 7.48  | 3.4         | 0.4     |
| Vegetable chowmein                                                                     | 543.32    | 129.71      | 15.44  | 3.07      | 6.36  | 1.97        | 1.86    |
| Chicken chowmein                                                                       | 632.98    | 151.33      | 13.3   | 6.33      | 8.23  | 1.63        | 1.64    |
| Cheese noodle ring                                                                     | 561.07    | 133.67      | 13.96  | 6.22      | 6.12  | 2.84        | 1.27    |
| Spaghetti and cheese balls in tomato sauce                                             | 2095.46   | 508.32      | 7.82   | 2.41      | 52.08 | 1.83        | 0.59    |
| Penne platter                                                                          | 744.46    | 177.4       | 20.87  | 5.04      | 8.71  | 4.5         | 1.09    |
| Pasta hot pot                                                                          | 524.24    | 125.17      | 11.6   | 5.84      | 6.47  | 5.99        | 0.8     |
| Chicken lasagne                                                                        | 785.18    | 187.49      | 13.9   | 10.45     | 10.36 | 2.74        | 0.11    |
| Fettuccine with spinach sauce                                                          | 540       | 129.21      | 12.19  | 3.1       | 7.83  | 1.18        | 0.77    |
| Naan                                                                                   | 1197.8    | 286.45      | 51.75  | 8.05      | 4.99  | 5.59        | 1.91    |
| Bhatura                                                                                | 3265      | 793.2       | 10.73  | 1.63      | 82.56 | 0.69        | 0.38    |
| Idli                                                                                   | 575.46    | 137.54      | 28.18  | 4.64      | 0.33  | 0.28        | 2.31    |
| Masala dosa                                                                            | 683.8     | 164.58      | 19.57  | 3.29      | 7.84  | 1.33        | 2.52    |
| Semolina dosa (Suji/Rava dosa)                                                         | 947.56    | 227.05      | 32.84  | 7.3       | 7.12  | 4.37        | 4.04    |
| Onion tomato uttapam                                                                   | 1903.54   | 462.02      | 11.32  | 1.91      | 45.3  | 0.8         | 1.26    |
| Paneer kaathi roll                                                                     | 1186.3    | 285.94      | 20.1   | 6.92      | 19.55 | 3.29        | 2.4     |
| Makki ki roti                                                                          | 1094.52   | 263.97      | 24.19  | 3.49      | 16.85 | 0.7         | 5.19    |
| Washed moong dal (Dhuli moong ki dal)                                                  | 208.28    | 50          | 5.91   | 2.68      | 1.68  | 0.12        | 1.17    |
| Washed urad dal (Dhuli urad ki dal)                                                    | 254.82    | 61.32       | 5.84   | 2.51      | 2.98  | 0.32        | 1.53    |
| Split bengal gram with bottle gourd (Channa dal with ghiya/lauki)                      | 304.63    | 73.25       | 7.1    | 2.79      | 3.6   | 1.05        | 2.72    |
| Dry washed urad                                                                        | 520       | 124.71      | 15.66  | 6.85      | 3.5   | 0.73        | 4.06    |
| Mixed dal                                                                              | 257.36    | 61.93       | 5.79   | 2.51      | 3.1   | 0.34        | 1.62    |
| Whole moong (Moong ki dal)                                                             | 223.16    | 53.7        | 5.22   | 2.25      | 2.56  | 0.59        | 2.02    |
| Whole masoor (Masoor ki dal)                                                           | 224.65    | 54.05       | 5.37   | 2.28      | 2.52  | 0.67        | 1.98    |
| Whole moth (Moth ki dal)                                                               | 228.59    | 55          | 5.74   | 2.01      | 2.62  | 0.66        | 1.85    |
| Whole urad (Urad ki dal)                                                               | 223.55    | 53.8        | 5.05   | 2.21      | 2.62  | 0.57        | 2.32    |
| Moti mahal dal (Urad rajmah mix dal)                                                   | 428.47    | 103.13      | 8.74   | 3.93      | 5.66  | 1.7         | 3.38    |
| Black channa curry/Bengal gram curry (Kale chane ki curry)                             | 585.35    | 140.68      | 14.11  | 5.67      | 6.61  | 2.36        | 7.99    |
| Chickpeas curry (Safed channa curry)                                                   | 680.17    | 163.43      | 19.98  | 6.1       | 6.84  | 4.78        | 4.73    |
| Lobia curry                                                                            | 620.13    | 148.99      | 17.88  | 6.06      | 5.62  | 2.51        | 4.57    |
| Soyabean curry                                                                         | 679.92    | 163.28      | 6.76   | 10.43     | 10.19 | 2.66        | 7.34    |
| Kidney bean curry (Rajmah curry)                                                       | 598.11    | 143.73      | 16.38  | 5.95      | 5.77  | 2.49        | 5.83    |
| Sambar                                                                                 | 404.5     | 96.92       | 10.57  | 3.35      | 4.38  | 3.31        | 3.52    |
| Besan kadhi with pakodies                                                              | 1661.22   | 403.35      | 3.56   | 1.64      | 42.59 | 0.88        | 0.81    |
| Khatta channa                                                                          | 841.56    | 202.57      | 21.14  | 6.3       | 10.56 | 4.75        | 5.26    |
| Sprouted moong dal chat                                                                | 135.79    | 32.47       | 6.01   | 1.35      | 0.32  | 1.57        | 1.35    |
| Potato cauliflower (Aloo gobhi)                                                        | 439.24    | 106.18      | 5.99   | 1.9       | 8.13  | 0.44        | 3.02    |
| Potato capsicum (Shimla mirch aloo)                                                    | 519.38    | 125.53      | 8.72   | 1.41      | 9.33  | 0.54        | 2.02    |
| Cabbage and peas (Pattagobhi aur matar)                                                | 265.74    | 63.88       | 6.24   | 3.24      | 2.64  | 0.97        | 3.99    |
| Carrot and fenugreek leaves (Gajar methi)                                              | 257.01    | 61.92       | 4.17   | 2.1       | 3.81  | 2.11        | 4.43    |
| Potato fenugreek (Aloo methi)                                                          | 559.22    | 135.15      | 8.47   | 2.25      | 10.04 | 0.54        | 2.93    |
| Brinjal bhartha (Baingan ka bhartha)                                                   | 269.75    | 65.12       | 4.4    | 1.38      | 4.48  | 1.82        | 3.27    |
| Dry potato (Sookhe aloo)                                                               | 429.12    | 103.15      | 14.38  | 1.62      | 4.18  | 0.33        | 1.88    |
| Beans with coconut (Nariyal aur sem/phali; Beans thoran)                               | 547.25    | 131.63      | 4.39   | 2.62      | 11.39 | 2.06        | 5.59    |
| Cauliflower with coconut (Nariyal ke saath phoolgobhi)                                 | 549.26    | 132.11      | 3.99   | 2.64      | 11.56 | 1.71        | 5.27    |
| Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar)                | 443.45    | 106.61      | 4.99   | 1.82      | 8.62  | 2.36        | 4.52    |
| Raw turnip with coconut                                                                | 550.6     | 132.15      | 5.78   | 1.8       | 11.47 | 4.4         | 2.79    |
| Raw papaya with coconut (Papaya thoran)                                                | 551.94    | 132.75      | 5.58   | 1.54      | 11.42 | 3.82        | 4.31    |
| Stuffed okra (Bharwa bhindi)                                                           | 390.01    | 94.34       | 3.85   | 2.08      | 7.66  | 0.48        | 4.15    |
| Stuffed round gourd (Bharwa tinde)                                                     | 301.04    | 72.8        | 4.02   | 1.1       | 5.75  | 1.96        | 2.1     |
| Stuffed capsicum (Bharwa shimla mirch)                                                 | 376.99    | 90.94       | 8.26   | 1.34      | 5.7   | 1.21        | 2.01    |
| Stuffed brinjal (Bharwa baingan)                                                       | 384.41    | 93          | 3.96   | 1.53      | 7.73  | 0.92        | 4.09    |
| Stuffed tomatoes (Bharwa tamatar)                                                      | 387.69    | 93.35       | 6.19   | 3.28      | 6.06  | 2.68        | 2.2     |
| Pea potato curry (Aloo matar)                                                          | 419.09    | 100.92      | 9.74   | 3.48      | 5.13  | 1.86        | 3.61    |
| Pea paneer curry (Matar paneer)                                                        | 560.98    | 134.83      | 9.29   | 6.61      | 7.75  | 3.89        | 3.3     |
| Pea mushroom curry (Matar mushroom)                                                    | 387.18    | 93.3        | 7.41   | 3.87      | 5.16  | 1.82        | 3.86    |
| Pea curry (Matar ki sabzi)                                                             | 427.75    | 102.99      | 9.2    | 4.51      | 5.11  | 1.98        | 4.44    |
| Pea vadi curry                                                                         | 423.44    | 101.95      | 8.9    | 4.64      | 5.08  | 1.92        | 4.28    |
| Paneer curry                                                                           | 734.21    | 176.52      | 8.4    | 7.8       | 12.38 | 6.29        | 1.4     |
| Lotus stem curry (Kamal kakdi curry)                                                   | 457.31    | 110.34      | 9.24   | 1.53      | 7.25  | 2.09        | 3.14    |
| Gravy for kofta                                                                        | 519.4     | 125.59      | 6.31   | 1.75      | 10.35 | 3.73        | 1.96    |
| Pea kofta curry (Matar kofta curry)                                                    | 2451.23   | 595.66      | 4.17   | 2.01      | 63.39 | 0.88        | 1.7     |
| Spinach kofta curry (Palak kofta curry)                                                | 2353.02   | 571.78      | 3.56   | 1.09      | 61.49 | 0.82        | 0.92    |
| Paneer kofta curry                                                                     | 2761.29   | 670.91      | 3.27   | 2.39      | 72.06 | 1.98        | 0.4     |
| Lotus stem kofta curry (Kamal kakdi kofta curry)                                       | 2607.51   | 633.56      | 5.01   | 0.96      | 67.76 | 0.88        | 1.01    |
| Raw banana kofta curry (Kela kofta curry)                                              | 2580.81   | 627.27      | 3.4    | 0.62      | 67.98 | 2.3         | 0.59    |
| Cauliflower kofta curry (Phoolgobhi kofta curry)                                       | 2637.44   | 641.1       | 2.62   | 1.04      | 69.62 | 0.83        | 1       |
| Cabbage kofta curry (Pattagobhi kofta curry)                                           | 2632.23   | 639.81      | 2.87   | 0.98      | 69.4  | 0.89        | 0.9     |
| Ghiya/Lauki Kofta Curry                                                                | 2627.6    | 638.71      | 2.71   | 0.89      | 69.4  | 0.82        | 0.83    |
| Spinach paneer kofta curry (Palak paneer kofta curry)                                  | 2493.7    | 606.03      | 2.94   | 1.43      | 65.41 | 1.16        | 0.75    |
| Vegetarian egg kofta curry                                                             | 2581.9    | 627.41      | 4.26   | 1.33      | 67.24 | 1.19        | 0.64    |
| Baked vegetables                                                                       | 371.43    | 88.99       | 8.44   | 3.67      | 4.44  | 2.56        | 2.34    |
| Cauliflower musallam (Phoolgobhi musallam)                                             | 244.37    | 58.83       | 4.48   | 1.89      | 3.55  | 1.71        | 3.06    |
| Baked vegetables with spinach                                                          | 324.45    | 77.79       | 6.93   | 3.22      | 4.03  | 2.09        | 2.33    |
| Baked potato with skin                                                                 | 563.8     | 135.77      | 11.11  | 3.43      | 8.5   | 1.66        | 1.2     |
| Shepherd's pie (vegetarian)                                                            | 564.33    | 135.63      | 12.03  | 5.04      | 7.3   | 2.78        | 2.23    |
| Baked brinjal in tomato sauce                                                          | 161.02    | 38.63       | 4.13   | 1.58      | 1.62  | 2.2         | 2.34    |
| Dum aloo                                                                               | 2806.84   | 682.33      | 3.33   | 0.7       | 74.01 | 0.71        | 0.68    |
| Spinach paneer (Palak paneer)                                                          | 323.55    | 77.68       | 4.43   | 4.03      | 4.76  | 2.55        | 1.91    |
| Methi chaman                                                                           | 1957.78   | 475.62      | 2.78   | 1.54      | 50.91 | 1.79        | 0.53    |
| Sarson ka saag                                                                         | 364.17    | 87.84       | 5.33   | 3         | 5.86  | 0.75        | 3.69    |
| Jackfruit sabzi (Kathal ki sabzi)                                                      | 2572.48   | 625.4       | 3.4    | 0.69      | 67.6  | 2.59        | 1.02    |
| Avial                                                                                  | 520.92    | 124.56      | 8.47   | 2.46      | 8.94  | 3.83        | 5.44    |
| Al yakhani                                                                             | 610.8     | 147.54      | 4.65   | 2.86      | 13.14 | 3.56        | 1.27    |
| Shahi paneer                                                                           | 649.74    | 156.5       | 6.64   | 5.06      | 12.34 | 5.01        | 1.4     |
| Paneer in butter sauce                                                                 | 607.5     | 145.61      | 9.7    | 6.99      | 8.81  | 7.49        | 1.5     |
| Methi malai paneer                                                                     | 810.16    | 194.98      | 8.15   | 7.34      | 14.76 | 6           | 1.47    |
| Chilli paneer                                                                          | 3199.66   | 777.51      | 3.31   | 2.1       | 84.01 | 1.5         | 0.5     |
| Paneer makhana korma                                                                   | 3194.04   | 775.82      | 4.63   | 3.24      | 82.76 | 1.84        | 0.21    |
| Kadhai Paneer                                                                          | 449.91    | 107.99      | 7.34   | 4.33      | 6.81  | 5.54        | 2.07    |
| Roghan josh                                                                            | 582.69    | 139.59      | 4.93   | 9.56      | 9.02  | 2.66        | 2.08    |
| Spinach mutton (Palak mutton)                                                          | 335.43    | 80.32       | 3.45   | 5.74      | 4.71  | 1.42        | 2.23    |
| Pea keema curry (Matar keema ki sabzi)                                                 | 553.15    | 133         | 6.24   | 8.43      | 8.14  | 1.82        | 2.96    |
| Keema kofta curry                                                                      | 643.38    | 154.45      | 5.64   | 9.77      | 10.39 | 2.14        | 1.51    |
| Kashmiri mutton koftas (Gushtaba)                                                      | 405.6     | 97.42       | 3.04   | 6.33      | 6.77  | 2.13        | 0.62    |
| Mutton yakhni                                                                          | 434.62    | 104.13      | 0.84   | 8.27      | 7.7   | 0.13        | 0.67    |
| Chicken yakhni                                                                         | 413.28    | 99          | 0.78   | 10.66     | 6.1   | 0.12        | 0.62    |
| Mutton do piaza                                                                        | 762.28    | 183.3       | 4.14   | 9.39      | 14.41 | 2.9         | 1.93    |
| Mutton chops                                                                           | 2732.12   | 663.64      | 1.48   | 4.03      | 71.31 | 0.42        | 0.17    |
| Shammi kebab                                                                           | 2822.97   | 685.69      | 3.54   | 4.52      | 72.61 | 0.31        | 1.05    |
| Scotch egg                                                                             | 2786.45   | 676.89      | 1.91   | 4.05      | 72.62 | 0.3         | 0.36    |
| Shepherd's pie (with minced meat)                                                      | 593.85    | 142.78      | 8.06   | 7.45      | 8.88  | 1.7         | 1.05    |
| Chicken curry                                                                          | 538.96    | 129.22      | 3.38   | 11.79     | 7.57  | 1.79        | 1.41    |
| Tandoori chicken                                                                       | 607.17    | 145.2       | 2.34   | 16.26     | 7.93  | 1.58        | 0.5     |
| Butter chicken                                                                         | 571.18    | 137         | 3.74   | 10.92     | 8.7   | 2.37        | 1.32    |
| Chicken kebab                                                                          | 3001.14   | 729.41      | 1.11   | 3.71      | 78.89 | 0.24        | 0.21    |
| Chilli chicken                                                                         | 823.97    | 198.83      | 2.86   | 9.57      | 16.56 | 0.93        | 0.99    |
| Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath)           | 521.48    | 125.03      | 2.51   | 11.48     | 7.61  | 1.16        | 1.13    |
| Fish curry (Machli curry)                                                              | 461.62    | 111.13      | 3.77   | 8.76      | 6.69  | 2.02        | 1.89    |
| Fried fish (Indian style) (Tali hui machli)                                            | 2711.38   | 658.54      | 5.4    | 4.35      | 68.88 | 0.4         | 0.61    |
| Fried fish and Chips (English Style) (Tali hui machli aur chips)                       | 2682.09   | 651.75      | 2.77   | 3.36      | 69.69 | 0.17        | 0.29    |
| Tomato fish                                                                            | 2015.88   | 489.79      | 3.18   | 2.39      | 51.91 | 1.35        | 0.72    |
| Baked fish with cheese sauce                                                           | 475.32    | 113.96      | 4.06   | 8.64      | 7.02  | 3.22        | 0.08    |
| Fish tikka                                                                             | 489.08    | 117.33      | 3.91   | 16        | 4.15  | 1.18        | 1.18    |
| Tandoori fish                                                                          | 400.97    | 95.98       | 2.37   | 11.19     | 4.64  | 1.6         | 0.58    |
| Paneer, apple and pineapple salad                                                      | 397.42    | 95.08       | 8.35   | 3.88      | 5.07  | 6.36        | 1.65    |
| Russian salad                                                                          | 476.71    | 114.83      | 6.5    | 4.26      | 7.84  | 1.66        | 2.57    |
| Pasta salad                                                                            | 792.54    | 190.36      | 12.7   | 4.15      | 13.92 | 2.6         | 0.96    |
| Deviled egg                                                                            | 409.48    | 98.56       | 2.23   | 4.97      | 7.72  | 0.82        | 1.15    |
| Hawain salad                                                                           | 733.88    | 175.23      | 14.35  | 4.27      | 11.37 | 5.24        | 3.93    |
| Mixed pulse and vegetable salad                                                        | 349.23    | 83.12       | 13.96  | 4.74      | 0.84  | 1.36        | 2.96    |
| Sprouted moong salad                                                                   | 158.65    | 37.81       | 5.48   | 2.29      | 0.74  | 2.13        | 0.95    |
| Tossed salad                                                                           | 261.03    | 62.96       | 4.95   | 1.02      | 4.22  | 1.56        | 2.15    |
| Mixed vegetable salad with curd sauce                                                  | 252.12    | 60.28       | 7.03   | 4.23      | 1.5   | 2.16        | 3.79    |
| Potato salad (Aloo ka salaad)                                                          | 374.93    | 89.91       | 11.19  | 1.4       | 4.4   | 3.94        | 1.32    |
| Waldroff salad                                                                         | 588.94    | 141.75      | 11.02  | 1.47      | 10.05 | 8.23        | 1.87    |
| Coleslaw                                                                               | 318.36    | 76.71       | 5.59   | 1.24      | 5.32  | 3.62        | 2.34    |
| Fruit salad (Phalon ka salaad)                                                         | 328.7     | 78.14       | 15.96  | 0.91      | 1.22  | 9.78        | 1.58    |
| Tomato onion raita (Tamatar aur pyaaz ka raita)                                        | 248.26    | 59          | 7.08   | 3.74      | 1.84  | 5.98        | 0.97    |
| Peanut raita (Mungfali ka raita)                                                       | 631.24    | 150.39      | 9.3    | 8.59      | 8.98  | 7.11        | 1.89    |
| Sprouted moong raita                                                                   | 256.2     | 60.89       | 6.13   | 4.62      | 2.19  | 5.59        | 0.16    |
| Bottle gourd raita (Ghiya/Lauki ka raita)                                              | 237.21    | 56.31       | 5.76   | 3.98      | 2.07  | 5.25        | 0.85    |
| Cucumber raita (Kheere ka raita)                                                       | 249       | 59.13       | 6.35   | 4.04      | 2.08  | 5.22        | 0.86    |
| Carrot and spinach raita (Gajar aur palak ka raita)                                    | 239.15    | 56.83       | 5.83   | 4         | 1.99  | 4.93        | 1.39    |
| Mint raita (Pudinay ka raita)                                                          | 326.97    | 77.59       | 7.65   | 5.64      | 2.96  | 7.48        | 0.34    |
| Potato raita (Aloo ka raita)                                                           | 316.95    | 75.38       | 10.24  | 4.22      | 2.04  | 5.08        | 0.75    |
| Boondi raita                                                                           | 2831.04   | 687.72      | 3.96   | 2.19      | 73.83 | 1.88        | 0.46    |
| Sweet raita (Meetha raita)                                                             | 418.63    | 99.24       | 17.93  | 3.24      | 1.78  | 15.36       | 1.02    |
| Dahi vadas/Dahi bhalla                                                                 | 2748.73   | 667.73      | 5.49   | 2.96      | 70.4  | 1.78        | 0.97    |
| Gunjia                                                                                 | 2747.77   | 667.34      | 5.68   | 2.98      | 70.28 | 2.05        | 1.13    |
